Test_ID,Test_Time,Step_Time,DateTime,Step_Index,Cycle_Index,Is_FC_Data,Current,Voltage,Charge_Capacity,Discharge_Capacity,Charge_Energy,Discharge_Energy,dV/dt,Internal_Resistance,AC_Impedance,ACI_Phase_Angle,state,cycle change,half cycle,Capacity,Time,full cycle,Test Time / s,Voltage / V,Current / A,Cycle Count / 1,Step Index / 1,Step Count / 1,Charging Capacity / Ah,Discharging Capacity / Ah
1,185562.0400157057,12762.0400157131,45133.93246527778,2,1,0,8.653391e-05,4.0073786,0.000306607628069,0.0,0.001209431200396,0.0,0.0,0.0,0.0,0.0,0,False,1,0.000306590393228,185562.0400157057,1.0,185562.0400157057,4.0073786,8.653391e-08,1.0,2,2,3.06590393228e-07,0.0
1,185682.0495226113,12882.04952261872,45133.93385416667,2,1,0,8.6498592e-05,4.0101452,0.000309490878826,0.0,0.00122098995937,0.0,0.0,0.0,0.0,0.0,0,False,1,0.000309473643985,185682.0495226113,1.0,185682.0495226113,4.0101452,8.6498592e-08,1.0,2,2,3.0947364398499996e-07,0.0
1,185802.0588115455,13002.05881155296,45133.93524305556,2,1,0,8.653391e-05,4.0132198,0.000312374129557,0.0,0.001232556275606,0.0,0.00012302399,0.0,0.0,0.0,0,False,1,0.000312356894716,185802.0588115455,1.0,185802.0588115455,4.0132198,8.653391e-08,1.0,2,2,3.12356894716e-07,0.0
1,185922.0683458259,13122.06834583332,45133.93663194445,2,1,0,8.6463268e-05,4.0166016,0.000315257385412,0.0,0.001244131714738,0.0,6.1511993e-05,0.0,0.0,0.0,0,False,1,0.000315240150571,185922.0683458259,1.0,185922.0683458259,4.0166016,8.6463268e-08,1.0,2,2,3.15240150571e-07,0.0
1,186042.0777469966,13242.07774700401,45133.93802083333,2,1,0,8.6498592e-05,4.0196757,0.000318140544618,0.0,0.001255716934262,0.0,0.0,0.0,0.0,0.0,0,False,1,0.000318123309777,186042.0777469966,1.0,186042.0777469966,4.0196757,8.6498592e-08,1.0,2,2,3.1812330977700003e-07,0.0
1,186162.0870338777,13362.08703388514,45133.93940972222,2,1,0,8.6498592e-05,4.0224428,0.000321023685753,0.0,0.001267310863999,0.0,-6.1511993e-05,0.0,0.0,0.0,0,False,1,0.000321006450912,186162.0870338777,1.0,186162.0870338777,4.0224428,8.6498592e-08,1.0,2,2,3.21006450912e-07,0.0
1,186282.096556866,13482.09655721561,45133.94079861111,2,1,0,8.6498592e-05,4.0258245,0.00032390689788,0.0,0.001278913308262,0.0,6.1511993e-05,0.0,0.0,0.0,0,False,1,0.000323889663039,186282.096556866,1.0,186282.096556866,4.0258245,8.6498592e-08,1.0,2,2,3.23889663039e-07,0.0
1,186402.1058437472,13602.10584375456,45133.9421875,2,1,0,8.6463268e-05,4.0285912,0.000326790085807,0.0,0.001290524237297,0.0,-6.1511993e-05,0.0,0.0,0.0,0,False,1,0.000326772850966,186402.1058437472,1.0,186402.1058437472,4.0285912,8.6463268e-08,1.0,2,2,3.26772850966e-07,0.0
1,186522.1153681042,13722.11536811157,45133.94357638889,2,1,0,8.6498592e-05,4.0316658,0.000329673344162,0.0,0.001302144503223,0.0,0.0,0.0,0.0,0.0,0,False,1,0.000329656109321,186522.1153681042,1.0,186522.1153681042,4.0316658,8.6498592e-08,1.0,2,2,3.29656109321e-07,0.0
1,186642.1246440354,13842.124644385,45133.94496527778,2,1,0,8.6498592e-05,4.0359697,0.000332556529349,0.0,0.001313775265476,0.0,6.1511993e-05,0.0,0.0,0.0,0,False,1,0.000332539294508,186642.1246440354,1.0,186642.1246440354,4.0359697,8.6498592e-08,1.0,2,2,3.32539294508e-07,0.0
1,186762.1341875547,13962.13418756215,45133.94635416667,2,1,0,8.6498592e-05,4.0393515,0.000335439799417,0.0,0.001325416649601,0.0,0.0,0.0,0.0,0.0,0,False,1,0.000335422564576,186762.1341875547,1.0,186762.1341875547,4.0393515,8.6498592e-08,1.0,2,2,3.35422564576e-07,0.0
