
Integration time [ms]:   1.500
Averaging Nr. [scans]: 100
Smoothing Nr. [pixels]: 3
Data measured with spectrometer [name]: 1908047U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 

128.909;  231.779;   -0.956;   81.480
129.461;  246.026;   -2.716;   68.201
130.013;  257.442;   -5.226;  127.577
130.565;  253.794;   -5.833;   92.420
131.118;  256.807;   -7.108;   92.061
131.670;  256.322;   -8.558;   89.289
132.222;  259.286;   -9.323;   90.332
132.774;  262.123;   -9.738;   93.177
133.326;  260.846;   -9.531;   87.110
133.879;  267.369;   -9.040;  112.505
134.431;  269.844;   -8.584;  114.788
134.983;  274.030;   -7.924;  120.104
135.536;  282.293;   -6.583;  140.699
136.088;  285.796;   -5.250;  143.215
136.640;  292.199;   -3.798;  161.972
137.193;  300.208;   -2.756;  177.550
137.745;  301.455;   -1.884;  166.469
138.297;  307.086;   -1.080;  175.815
138.850;  309.721;    0.217;  169.282
139.402;  306.276;    1.163;  145.747
139.955;  306.202;    1.837;  140.625
140.507;  305.334;    1.986;  135.541
141.059;  305.524;    2.133;  140.475
141.612;  298.882;    2.262;  118.250
142.164;  295.089;    2.540;  108.850
142.717;  292.270;    2.220;  110.377
143.269;  297.962;    2.054;  127.122
143.822;  299.253;    1.553;  131.258
144.374;  298.985;    1.423;  117.332
144.927;  304.064;    1.552;  138.005
145.479;  313.242;    1.683;  164.124
146.032;  314.407;    1.249;  162.761
146.585;  305.316;    0.549;  159.004
147.137;  303.707;    0.057;  154.978
147.690;  307.629;    0.379;  162.423
148.242;  309.850;    0.360;  165.702
148.795;  304.390;   -0.123;  135.965
149.348;  312.959;   -0.437;  161.531
149.900;  316.701;   -0.683;  168.784
150.453;  325.937;   -0.416;  167.544
151.006;  325.893;   -0.317;  157.140
151.558;  321.037;   -0.691;  131.408
152.111;  319.848;   -1.101;  125.534
152.664;  322.027;   -1.121;  125.643
153.217;  344.923;   -0.413;  165.077
153.769;  354.139;    0.327;  186.637
154.322;  362.327;    0.566;  207.353
154.875;  363.992;    0.433;  221.057
155.428;  367.193;    0.063;  236.716
155.981;  368.482;    0.100;  236.154
156.533;  370.277;    0.427;  245.665
157.086;  343.126;   -0.161;  187.529
157.639;  330.869;   -0.830;  156.059
158.192;  330.341;   -1.161;  153.487
158.745;  334.481;   -1.164;  150.934
159.298;  338.609;   -0.594;  162.720
159.851;  340.627;   -0.151;  179.672
160.403;  342.172;   -0.346;  180.200
160.956;  346.461;   -0.558;  191.508
161.509;  349.009;   -0.891;  209.365
162.062;  348.160;   -0.766;  210.421
162.615;  348.564;   -0.300;  215.667
163.168;  346.116;   -0.528;  206.383
163.721;  346.740;   -0.731;  201.954
164.274;  346.084;   -0.873;  194.270
164.827;  339.785;   -0.904;  165.926
165.380;  343.308;   -0.003;  167.377
165.933;  352.117;    0.656;  194.129
166.486;  359.472;    0.630;  223.380
