
Integration time [ms]:   1.500
Averaging Nr. [scans]: 100
Smoothing Nr. [pixels]: 3
Data measured with spectrometer [name]: 1908047U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
216.301;  207.246;    0.333;  378.115
216.855;  211.607;    0.040;  380.979
217.408;  216.638;    0.102;  385.425
217.962;  220.476;    0.507;  398.915
218.516;  225.295;    0.750;  412.690
219.070;  224.413;    0.286;  414.748
219.624;  228.851;   -0.047;  468.086
220.178;  227.048;   -0.281;  503.832
220.732;  227.259;    0.163;  559.737
221.286;  229.848;    0.552;  639.033
221.840;  226.070;    0.197;  688.959
222.394;  220.358;   -0.250;  748.833
222.948;  211.148;   -0.606;  814.889
223.502;  206.545;   -0.263;  874.108
224.056;  210.056;    0.542;  981.147
224.610;  214.132;    0.659; 1079.019
225.164;  217.565;    0.507; 1148.415
225.718;  219.927;    0.254; 1222.435
226.272;  223.170;    0.537; 1299.885
226.826;  231.899;    1.133; 1396.841
227.380;  236.156;    1.299; 1478.244
227.934;  242.963;    1.149; 1574.331
228.488;  243.843;    0.656; 1663.035
229.042;  245.581;    0.607; 1761.206
229.596;  249.604;    1.153; 1869.580
230.150;  254.452;    1.426; 2018.704
230.704;  257.697;    1.319; 2124.937
231.258;  259.206;    0.973; 2227.511
231.812;  252.790;    0.672; 2288.332
232.366;  251.449;    1.106; 2359.752
232.920;  249.629;    1.500; 2434.752
233.475;  244.630;    1.270; 2478.347
234.029;  237.811;    0.827; 2519.393
234.583;  231.852;    0.623; 2576.057
235.137;  223.581;    0.583; 2617.121
235.691;  217.338;    0.956; 2652.944
236.245;  209.823;    0.967; 2687.143
236.799;  199.044;    0.484; 2698.259
237.353;  189.665;    0.032; 2752.390
237.907;  183.813;    0.153; 2761.727
238.462;  175.256;    0.413; 2785.468
239.016;  172.922;    0.717; 2812.104
239.570;  169.466;    0.362; 2827.286
240.124;  163.877;   -0.247; 2822.374
240.678;  167.214;   -0.058; 2856.755
241.232;  171.488;    0.580; 2850.436
241.787;  170.285;    0.866; 2825.305
242.341;  172.287;    0.844; 2775.853
242.895;  172.808;    0.547; 2729.929
243.449;  171.310;    0.470; 2661.678
244.003;  175.221;    0.993; 2640.098
244.558;  172.368;    1.139; 2596.839
245.112;  166.924;    0.827; 2559.348
245.666;  166.070;    0.262; 2550.339
246.220;  167.505;   -0.176; 2576.008
246.774;  173.201;    0.074; 2613.732
247.329;  176.874;    0.366; 2665.573
247.883;  179.788;    0.383; 2716.526
248.437;  185.789;    0.142; 2772.716
248.991;  201.155;    0.247; 2899.593
249.546;  213.703;    0.579; 3009.092
250.100;  224.412;    1.172; 3096.640
250.654;  232.682;    1.290; 3213.949
251.208;  244.006;    0.979; 3342.878
251.763;  259.369;    0.759; 3492.765
252.317;  300.299;    1.510; 3802.482
252.871;  322.611;    1.807; 3958.187
253.425;  345.098;    2.212; 4150.249
253.980;  373.208;    2.153; 4415.629
254.534;  404.025;    1.869; 4636.183
255.088;  438.893;    1.747; 4869.483
255.642;  478.681;    1.882; 5141.348
256.197;  503.634;    1.570; 5310.366
256.751;  554.004;    1.357; 5628.093
257.305;  613.257;    0.804; 5929.252
257.860;  677.457;    0.476; 6235.714
258.414;  751.791;    0.497; 6637.004
258.968;  838.971;    1.073; 7066.455
259.523;  941.156;    1.457; 7492.314
260.077; 1044.691;    1.330; 7883.355
260.631; 1149.340;    0.829; 8234.991
261.186; 1270.839;    0.966; 8614.577
261.740; 1398.211;    1.572; 8973.924
262.294; 1526.508;    1.673; 9295.035
262.849; 1674.815;    1.484; 9672.979
263.403; 1828.114;    1.190;10019.032
263.957; 1992.816;    0.854;10365.578
264.512; 2154.025;    1.250;10705.432
265.066; 2321.156;    1.463;11028.701
265.620; 2499.633;    1.007;11322.521
266.175; 2687.760;    0.616;11636.590
266.729; 2865.766;    0.080;11821.056
267.283; 3064.475;   -0.010;12053.292
267.838; 3270.601;    0.469;12269.140
268.392; 3485.723;    0.656;12475.800
268.946; 3695.275;    0.369;12694.704
269.501; 3913.904;    0.183;12898.050
270.055; 4127.212;    0.549;13070.373
270.610; 4298.884;    1.290;13247.700
271.164; 4426.298;    1.603;13348.588
271.718; 4514.425;    1.359;13437.129
272.273; 4567.946;    1.006;13527.156
272.827; 4587.070;    1.039;13589.958
273.381; 4544.145;    1.626;13652.798
273.936; 4458.895;    1.967;13693.679
274.490; 4343.805;    1.659;13759.029
275.045; 4178.542;    0.996;13775.910
275.599; 4002.177;    0.789;13782.016
276.153; 3812.693;    1.163;13820.409
276.708; 3588.422;    1.484;13848.893
277.262; 3353.051;    1.116;13903.695
277.817; 3124.872;    0.623;14007.138
278.371; 2904.483;    0.469;14136.773
278.925; 2712.406;    1.012;14346.304
279.480; 2503.746;    1.474;14613.256
280.034; 2297.011;    1.289;14904.528
280.589; 2125.380;    0.996;15302.363
281.143; 1955.772;    0.656;15618.002
281.698; 1793.628;    0.680;15940.294
282.252; 1668.042;    1.693;16291.759
282.806; 1536.281;    2.107;16682.402
283.361; 1409.065;    1.740;17101.295
283.915; 1290.009;    1.566;17561.377
284.470; 1176.507;    1.603;17888.264
285.024; 1067.825;    2.146;18173.012
285.579;  960.291;    2.663;18531.531
286.133;  837.337;    1.952;18901.814
286.687;  723.725;    1.124;19216.586
287.242;  634.978;    1.049;19572.494
287.796;  554.382;    1.319;19864.744
288.351;  478.682;    1.293;20240.389
288.905;  426.713;    1.307;20798.324
289.460;  373.715;    0.924;21286.486
290.014;  329.410;    0.769;21790.734
290.569;  295.387;    1.099;22316.279
291.123;  266.601;    1.524;22857.588
291.677;  242.814;    1.614;23385.848
292.232;  218.588;    1.654;23904.844
292.786;  194.095;    1.236;24358.730
293.341;  178.218;    1.123;24727.863
293.895;  166.996;    1.424;25123.277
294.450;  159.333;    1.734;25524.271
295.004;  155.757;    1.660;25811.418
295.559;  150.143;    1.344;26092.074
296.113;  145.867;    1.007;26333.066
296.667;  141.797;    1.153;26507.764
297.222;  142.969;    1.546;26739.646
297.776;  141.200;    1.497;26858.646
298.331;  138.936;    1.074;26864.711
298.885;  135.857;    0.813;26810.711
299.440;  137.404;    0.924;26722.340
299.994;  136.127;    1.496;26606.666
300.549;  136.246;    1.870;26585.238
301.103;  130.550;    1.510;26531.613
301.658;  133.709;    1.507;26449.648
302.212;  132.503;    1.649;26399.551
302.766;  129.242;    2.019;26372.904
303.321;  125.042;    2.332;26403.324
303.875;  128.241;    2.316;26491.959
304.430;  126.027;    1.829;26471.434
304.984;  125.799;    1.706;26514.270
305.539;  120.041;    1.530;26622.086
306.093;  126.057;    2.134;26824.564
306.648;  128.604;    1.822;27084.906
307.202;  127.432;    1.302;27340.906
307.756;  122.790;    0.894;27544.486
308.311;  123.991;    1.387;27814.803
308.865;  122.751;    1.893;28011.299
309.420;  130.362;    2.279;28199.574
309.974;  123.213;    1.633;28340.434
310.529;  121.297;    1.516;28338.043
311.083;  116.994;    1.613;28281.004
311.638;  117.462;    2.163;28047.199
312.192;  115.158;    2.329;27875.396
312.747;  114.399;    2.009;27810.410
313.301;  106.312;    1.543;27785.930
313.855;  102.439;    1.253;27746.797
314.410;  102.106;    1.904;27830.840
314.964;  105.507;    2.407;27972.625
315.519;  104.778;    2.216;28425.551
316.073;  101.919;    1.554;28824.047
316.628;  103.400;    1.422;29130.102
317.182;  104.147;    1.694;29528.285
317.736;  106.086;    2.139;29925.502
318.291;  111.664;    1.876;30299.746
318.845;  116.344;    1.516;30697.639
319.400;  123.562;    1.159;30855.463
319.954;  132.308;    1.423;31015.430
320.509;  146.387;    1.697;31209.553
321.063;  162.629;    1.430;31187.637
321.617;  184.841;    1.064;31147.822
322.172;  209.981;    0.469;31148.564
322.726;  245.513;    0.536;31027.078
323.281;  292.868;    1.067;31078.949
323.835;  354.372;    1.472;30995.207
324.390;  417.576;    1.394;30892.326
324.944;  490.842;    1.324;30724.332
325.498;  570.745;    1.257;30569.758
326.053;  657.549;    1.956;30409.090
326.607;  746.644;    2.116;30261.652
327.162;  839.539;    1.872;29994.971
327.716;  932.447;    1.424;29789.141
328.270; 1032.175;    1.204;29503.053
328.825; 1132.841;    1.574;29315.000
329.379; 1247.652;    2.222;29152.016
329.934; 1354.774;    2.087;28887.242
330.488; 1456.468;    1.857;28662.639
331.042; 1559.072;    1.616;28513.902
331.597; 1659.812;    1.512;28416.201
332.151; 1762.748;    2.052;28439.477
332.706; 1882.553;    2.127;28491.287
333.260; 1967.046;    1.584;28518.180
333.814; 2061.784;    1.354;28708.705
334.369; 2158.232;    1.309;28963.756
334.923; 2247.372;    1.839;29207.672
335.477; 2324.230;    2.197;29507.557
336.032; 2395.546;    1.890;29740.414
336.586; 2438.180;    1.540;29957.424
337.140; 2498.856;    1.644;30124.875
337.695; 2558.825;    2.210;30217.273
338.249; 2610.207;    2.759;30163.551
338.804; 2636.556;    2.517;30131.803
339.358; 2670.278;    2.399;29945.625
339.912; 2680.376;    2.323;29680.383
340.467; 2676.648;    2.247;29450.922
341.021; 2664.238;    2.737;29186.371
341.575; 2637.207;    2.416;28884.750
342.130; 2611.114;    1.889;28621.021
342.684; 2598.337;    1.543;28255.734
343.238; 2578.332;    1.394;27933.422
343.793; 2583.427;    1.564;27596.031
344.347; 2600.114;    1.837;27245.014
344.901; 2622.221;    1.283;26948.455
345.455; 2659.369;    1.007;26646.621
346.010; 2686.431;    0.923;26303.057
346.564; 2754.087;    1.790;25967.205
347.118; 2811.688;    2.282;25617.910
347.673; 2867.802;    2.040;25298.354
348.227; 2926.764;    1.614;24984.043
348.781; 3004.187;    1.683;24670.641
349.336; 3065.925;    1.924;24409.111
349.890; 3145.711;    2.314;24177.725
350.444; 3200.171;    1.497;24041.117
350.998; 3291.059;    0.779;23966.352
351.553; 3392.670;    0.853;23894.701
352.107; 3506.818;    1.294;23813.922
352.661; 3615.953;    1.396;23740.139
353.215; 3765.185;    1.484;23687.559
353.770; 3930.910;    1.089;23711.092
354.324; 4107.286;    1.049;23668.881
354.878; 4295.869;    1.224;23576.838
355.432; 4499.370;    1.434;23603.270
355.987; 4721.473;    1.367;23579.992
356.541; 4952.771;    1.234;23601.512
357.095; 5179.348;    0.693;23586.143
357.649; 5410.127;    0.537;23515.674
358.203; 5647.890;    0.763;23591.217
358.758; 5888.060;    1.033;23713.898
359.312; 6114.515;    0.956;23744.121
359.866; 6364.981;    0.922;23830.150
360.420; 6580.729;    0.863;23919.086
360.974; 6773.736;    1.160;24024.520
361.529; 6938.171;    1.667;24066.256
362.083; 7096.518;    1.714;24015.072
362.637; 7199.304;    1.454;23843.332
363.191; 7285.577;    1.277;23686.980
363.745; 7328.303;    1.239;23574.730
364.299; 7363.854;    1.540;23275.020
364.854; 7413.640;    1.793;23004.582
365.408; 7465.154;    1.672;22832.361
365.962; 7534.930;    1.867;22694.938
366.516; 7579.931;    1.912;22598.512
367.070; 7619.277;    2.243;22514.027
367.624; 7647.713;    2.447;22414.686
368.178; 7710.672;    2.469;22382.342
368.733; 7686.976;    2.214;22190.098
369.287; 7651.946;    2.070;21957.773
369.841; 7559.255;    2.169;21666.898
370.395; 7473.429;    2.696;21434.756
370.949; 7367.218;    2.530;21176.719
371.503; 7247.720;    2.272;20857.873
372.057; 7112.446;    2.347;20664.771
372.611; 6997.017;    2.583;20616.932
373.165; 6861.026;    2.980;20522.125
373.719; 6751.604;    2.860;20495.113
374.273; 6646.454;    2.349;20506.424
374.827; 6590.551;    2.120;20575.273
375.381; 6505.842;    2.134;20700.756
375.935; 6401.597;    2.203;20870.318
376.489; 6358.971;    2.386;21010.650
377.043; 6312.648;    2.034;21245.135
377.597; 6248.949;    1.577;21402.420
378.151; 6199.496;    1.196;21493.182
378.705; 6114.233;    1.479;21569.070
379.259; 6047.348;    1.754;21522.289
379.813; 5998.620;    1.423;21474.793
380.367; 5925.136;    0.873;21484.975
380.921; 5875.563;    0.797;21414.805
381.475; 5828.055;    1.229;21378.598
382.029; 5761.345;    1.902;21284.203
382.583; 5703.804;    1.850;21271.482
