
Integration time [ms]:   1.500
Averaging Nr. [scans]: 100
Smoothing Nr. [pixels]: 3
Data measured with spectrometer [name]: 1908047U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
215.193; 1878.961;    0.516;  327.768
215.747; 1956.324;    0.559;  339.924
216.301; 2049.750;    0.333;  378.115
216.855; 2120.061;    0.040;  380.979
217.408; 2187.859;    0.102;  385.425
217.962; 2255.745;    0.507;  398.915
218.516; 2321.470;    0.750;  412.690
219.070; 2376.017;    0.286;  414.748
219.624; 2455.840;   -0.047;  468.086
220.178; 2521.904;   -0.281;  503.832
220.732; 2605.843;    0.163;  559.737
221.286; 2712.534;    0.552;  639.033
221.840; 2817.930;    0.197;  688.959
222.394; 2954.538;   -0.250;  748.833
222.948; 3133.503;   -0.606;  814.889
223.502; 3371.017;   -0.263;  874.108
224.056; 3714.824;    0.542;  981.147
224.610; 4147.166;    0.659; 1079.019
225.164; 4676.407;    0.507; 1148.415
225.718; 5334.706;    0.254; 1222.435
226.272; 6143.234;    0.537; 1299.885
226.826; 7130.975;    1.133; 1396.841
227.380; 8277.597;    1.299; 1478.244
227.934; 9619.512;    1.149; 1574.331
228.488;11115.474;    0.656; 1663.035
229.042;12765.837;    0.607; 1761.206
229.596;14553.357;    1.153; 1869.580
230.150;16469.324;    1.426; 2018.704
230.704;18403.180;    1.319; 2124.937
231.258;20351.424;    0.973; 2227.511
231.812;22245.340;    0.672; 2288.332
232.366;24080.574;    1.106; 2359.752
232.920;25814.855;    1.500; 2434.752
233.475;27364.611;    1.270; 2478.347
234.029;28755.953;    0.827; 2519.393
234.583;29970.635;    0.623; 2576.057
235.137;30973.582;    0.583; 2617.121
235.691;31783.322;    0.956; 2652.944
236.245;32409.951;    0.967; 2687.143
236.799;32837.094;    0.484; 2698.259
237.353;33162.637;    0.032; 2752.390
237.907;33296.723;    0.153; 2761.727
238.462;33329.215;    0.413; 2785.468
239.016;33261.852;    0.717; 2812.104
239.570;33081.465;    0.362; 2827.286
240.124;32802.840;   -0.247; 2822.374
240.678;32498.297;   -0.058; 2856.755
241.232;32101.670;    0.580; 2850.436
241.787;31658.533;    0.866; 2825.305
242.341;31166.500;    0.844; 2775.853
242.895;30662.230;    0.547; 2729.929
243.449;30128.580;    0.470; 2661.678
244.003;29633.709;    0.993; 2640.098
244.558;29128.309;    1.139; 2596.839
245.112;28657.008;    0.827; 2559.348
245.666;28243.195;    0.262; 2550.339
246.220;27910.756;   -0.176; 2576.008
246.774;27638.580;    0.074; 2613.732
247.329;27452.072;    0.366; 2665.573
247.883;27347.365;    0.383; 2716.526
248.437;27337.645;    0.142; 2772.716
248.991;27486.117;    0.247; 2899.593
249.546;27710.146;    0.579; 3009.092
250.100;28007.299;    1.172; 3096.640
250.654;28434.047;    1.290; 3213.949
251.208;28960.459;    0.979; 3342.878
251.763;29596.514;    0.759; 3492.765
252.317;30476.395;    1.510; 3802.482
252.871;31297.977;    1.807; 3958.187
253.425;32234.307;    2.212; 4150.249
253.980;33320.398;    2.153; 4415.629
254.534;34434.762;    1.869; 4636.183
255.088;35623.375;    1.747; 4869.483
255.642;36903.250;    1.882; 5141.348
256.197;38134.453;    1.570; 5310.366
256.751;39538.266;    1.357; 5628.093
257.305;40939.063;    0.804; 5929.252
257.860;42329.469;    0.476; 6235.714
258.414;43760.926;    0.497; 6637.004
258.968;45169.254;    1.073; 7066.455
259.523;46493.965;    1.457; 7492.314
260.077;47661.520;    1.330; 7883.355
260.631;48650.340;    0.829; 8234.991
261.186;49503.336;    0.966; 8614.577
261.740;50149.188;    1.572; 8973.924
262.294;50574.332;    1.673; 9295.035
262.849;50854.504;    1.484; 9672.979
263.403;50919.023;    1.190;10019.032
263.957;50844.594;    0.854;10365.578
264.512;50613.133;    1.250;10705.432
265.066;50303.734;    1.463;11028.701
265.620;49969.430;    1.007;11322.521
266.175;49658.777;    0.616;11636.590
266.729;49323.238;    0.080;11821.056
267.283;49132.555;   -0.010;12053.292
267.838;49038.090;    0.469;12269.140
268.392;49068.234;    0.656;12475.800
268.946;49171.098;    0.369;12694.704
269.501;49319.574;    0.183;12898.050
270.055;49453.301;    0.549;13070.373
270.610;49494.555;    1.290;13247.700
271.164;49359.340;    1.603;13348.588
271.718;49063.066;    1.359;13437.129
272.273;48614.074;    1.006;13527.156
272.827;48007.934;    1.039;13589.958
273.381;47223.063;    1.626;13652.798
273.936;46323.059;    1.967;13693.679
274.490;45367.691;    1.659;13759.029
275.045;44341.844;    0.996;13775.910
275.599;43358.184;    0.789;13782.016
276.153;42469.707;    1.163;13820.409
276.708;41627.367;    1.484;13848.893
277.262;40918.363;    1.116;13903.695
277.817;40400.949;    0.623;14007.138
278.371;40054.000;    0.469;14136.773
278.925;39955.070;    1.012;14346.304
279.480;39998.852;    1.474;14613.256
280.034;40203.715;    1.289;14904.528
280.589;40684.879;    0.996;15302.363
281.143;41251.758;    0.656;15618.002
281.698;41946.176;    0.680;15940.294
282.252;42823.668;    1.693;16291.759
282.806;43767.000;    2.107;16682.402
283.361;44768.781;    1.740;17101.295
283.915;45789.383;    1.566;17561.377
284.470;46743.609;    1.603;17888.264
285.024;47630.180;    2.146;18173.012
285.579;48526.082;    2.663;18531.531
286.133;49356.816;    1.952;18901.814
286.687;50158.379;    1.124;19216.586
287.242;51049.617;    1.049;19572.494
287.796;51947.656;    1.319;19864.744
288.351;52967.473;    1.293;20240.389
288.905;54156.352;    1.307;20798.324
289.460;55260.926;    0.924;21286.486
290.014;56387.262;    0.769;21790.734
290.569;57493.129;    1.099;22316.279
291.123;58550.398;    1.524;22857.588
291.677;59498.094;    1.614;23385.848
292.232;60244.078;    1.654;23904.844
292.786;60828.594;    1.236;24358.730
293.341;61266.633;    1.123;24727.863
293.895;61579.980;    1.424;25123.277
294.450;61776.207;    1.734;25524.271
295.004;61825.445;    1.660;25811.418
295.559;61773.289;    1.344;26092.074
296.113;61637.832;    1.007;26333.066
296.667;61414.773;    1.153;26507.764
297.222;61211.527;    1.546;26739.646
297.776;60881.719;    1.497;26858.646
298.331;60448.965;    1.074;26864.711
298.885;59914.473;    0.813;26810.711
299.440;59358.836;    0.924;26722.340
299.994;58732.977;    1.496;26606.666
300.549;58142.082;    1.870;26585.238
301.103;57518.582;    1.510;26531.613
301.658;56937.848;    1.507;26449.648
302.212;56385.332;    1.649;26399.551
302.766;55836.375;    2.019;26372.904
303.321;55369.211;    2.332;26403.324
303.875;55024.898;    2.316;26491.959
304.430;54643.523;    1.829;26471.434
304.984;54299.027;    1.706;26514.270
305.539;54044.219;    1.530;26622.086
306.093;53911.195;    2.134;26824.564
306.648;53834.270;    1.822;27084.906
307.202;53705.402;    1.302;27340.906
307.757;53519.609;    0.894;27544.486
308.311;53412.336;    1.387;27814.803
308.865;53265.445;    1.893;28011.299
309.420;53102.820;    2.279;28199.574
309.974;52812.078;    1.633;28340.434
310.529;52449.816;    1.516;28338.043
311.083;52078.883;    1.613;28281.004
311.638;51596.477;    2.163;28047.199
312.192;51092.133;    2.329;27875.396
312.747;50614.059;    2.009;27810.410
313.301;50132.555;    1.543;27785.930
313.855;49702.523;    1.253;27746.797
314.410;49393.898;    1.904;27830.840
314.964;49174.828;    2.407;27972.625
315.519;49134.301;    2.216;28425.551
316.073;49141.242;    1.554;28824.047
316.628;49173.359;    1.422;29130.102
317.182;49281.344;    1.694;29528.285
317.736;49434.773;    2.139;29925.502
318.291;49602.563;    1.876;30299.746
318.845;49740.207;    1.516;30697.639
319.400;49753.711;    1.159;30855.463
319.954;49705.609;    1.423;31015.430
320.509;49647.215;    1.697;31209.553
321.063;49427.297;    1.430;31187.637
321.617;49163.875;    1.064;31147.822
322.172;48844.289;    0.469;31148.564
322.726;48458.984;    0.536;31027.078
323.281;48159.820;    1.067;31078.949
323.835;47823.852;    1.472;30995.207
324.390;47424.977;    1.394;30892.326
324.944;47013.371;    1.324;30724.332
325.498;46566.938;    1.257;30569.758
326.053;46071.012;    1.956;30409.090
326.607;45562.207;    2.116;30261.652
327.162;44972.984;    1.872;29994.971
327.716;44387.527;    1.424;29789.141
328.270;43774.613;    1.204;29503.053
328.825;43169.707;    1.574;29315.000
329.379;42642.113;    2.222;29152.016
329.934;42097.625;    2.087;28887.242
330.488;41571.770;    1.857;28662.639
331.042;41139.262;    1.616;28513.902
331.597;40773.656;    1.512;28416.201
332.151;40526.168;    2.052;28439.477
332.706;40428.938;    2.127;28491.287
333.260;40274.410;    1.584;28518.180
333.814;40263.414;    1.354;28708.705
334.369;40344.141;    1.309;28963.756
334.923;40410.648;    1.839;29207.672
335.477;40453.063;    2.197;29507.557
336.032;40457.055;    1.890;29740.414
336.586;40345.031;    1.540;29957.424
337.141;40242.602;    1.644;30124.875
337.695;40063.855;    2.210;30217.273
338.249;39767.945;    2.759;30163.551
338.804;39393.129;    2.517;30131.803
339.358;38982.512;    2.399;29945.625
339.912;38472.461;    2.323;29680.383
340.467;37937.609;    2.247;29450.922
341.021;37377.563;    2.737;29186.371
341.575;36795.453;    2.416;28884.750
342.130;36260.859;    1.889;28621.021
342.684;35750.016;    1.543;28255.734
343.238;35244.961;    1.394;27933.422
343.793;34845.555;    1.564;27596.031
344.347;34459.129;    1.837;27245.014
344.901;34101.137;    1.283;26948.455
345.456;33766.250;    1.007;26646.621
346.010;33357.801;    0.923;26303.057
346.564;33019.457;    1.790;25967.205
347.118;32627.742;    2.282;25617.910
347.673;32180.539;    2.040;25298.354
348.227;31705.408;    1.614;24984.043
348.781;31225.244;    1.683;24670.641
349.336;30680.887;    1.924;24409.111
349.890;30171.914;    2.314;24177.725
350.444;29607.439;    1.497;24041.117
350.998;29115.975;    0.779;23966.352
351.553;28648.896;    0.853;23894.701
352.107;28220.516;    1.294;23813.922
352.661;27805.676;    1.396;23740.139
353.215;27491.076;    1.484;23687.559
353.770;27243.494;    1.089;23711.092
354.324;27024.412;    1.049;23668.881
354.878;26848.453;    1.224;23576.838
355.432;26746.748;    1.434;23603.270
355.987;26691.639;    1.367;23579.992
356.541;26663.080;    1.234;23601.512
357.095;26641.359;    0.693;23586.143
357.649;26633.926;    0.537;23515.674
358.203;26670.211;    0.763;23591.217
358.758;26715.418;    1.033;23713.898
359.312;26718.463;    0.956;23744.121
359.866;26761.482;    0.922;23830.150
360.420;26756.928;    0.863;23919.086
360.974;26707.154;    1.160;24024.520
361.529;26596.393;    1.667;24066.256
362.083;26459.844;    1.714;24015.072
362.637;26222.791;    1.454;23843.332
363.191;25971.049;    1.277;23686.980
363.745;25675.025;    1.239;23574.730
364.299;25368.305;    1.540;23275.020
364.854;25108.957;    1.793;23004.582
365.408;24900.490;    1.672;22832.361
365.962;24750.719;    1.867;22694.938
366.516;24604.088;    1.912;22598.512
367.070;24480.857;    2.243;22514.027
367.624;24362.555;    2.447;22414.686
368.178;24311.598;    2.469;22382.342
368.733;24128.793;    2.214;22190.098
369.287;23921.123;    2.070;21957.773
369.841;23630.146;    2.169;21666.898
370.395;23356.959;    2.696;21434.756
370.949;23056.635;    2.530;21176.719
371.503;22733.805;    2.272;20857.873
372.057;22413.012;    2.347;20664.771
372.611;22149.607;    2.583;20616.932
373.165;21871.813;    2.980;20522.125
373.719;21660.604;    2.860;20495.113
374.273;21480.104;    2.349;20506.424
374.827;21397.932;    2.120;20575.273
375.381;21296.709;    2.134;20700.756
375.935;21195.477;    2.203;20870.318
376.489;21200.531;    2.386;21010.650
377.043;21225.324;    2.034;21245.135
377.597;21219.908;    1.577;21402.420
378.151;21241.221;    1.196;21493.182
378.705;21195.188;    1.479;21569.070
379.259;21165.236;    1.754;21522.289
379.813;21158.248;    1.423;21474.793
380.367;21117.031;    0.873;21484.975
380.921;21094.404;    0.797;21414.805
381.475;21076.254;    1.229;21378.598
382.029;21004.184;    1.902;21284.203
382.583;20964.238;    1.850;21271.482
383.137;20913.689;    1.359;21301.518
383.691;20832.980;    1.177;21300.807
384.245;20724.904;    1.234;21209.238
384.799;20589.633;    1.590;21174.924
385.353;20402.711;    1.592;21108.598
385.907;20246.607;    1.316;21192.297
386.461;20054.623;    1.083;21215.785
387.015;19876.291;    1.360;21203.338
387.569;19666.795;    1.889;21174.619
388.122;19423.930;    2.104;21097.770
388.676;19165.160;    1.903;21012.865
389.230;18954.912;    1.553;20967.229
389.784;18774.609;    1.410;20923.844
390.338;18631.762;    1.933;20870.760
390.892;18475.244;    1.982;20801.979
391.446;18383.463;    1.653;20746.834
391.999;18377.746;    1.459;20785.510
392.553;18441.621;    1.220;20842.127
393.107;18581.020;    1.697;20918.428
393.661;18731.084;    2.186;20928.527
394.215;18835.314;    2.016;20849.471
394.768;19002.000;    1.859;20884.371
395.322;19224.285;    1.867;20896.906
395.876;19438.986;    2.114;20921.127
396.430;19651.084;    2.769;20898.637
396.984;19780.594;    2.666;20817.242
397.537;19899.518;    2.269;20688.838
398.091;20074.719;    1.972;20699.154
398.645;20235.895;    2.234;20627.068
399.198;20292.082;    2.689;20504.336
399.752;20307.369;    2.704;20371.180
400.306;20289.174;    2.034;20250.672
400.860;20277.875;    1.823;20129.586
401.413;20247.865;    1.749;20069.705
401.967;20229.236;    2.179;19988.576
402.521;20179.477;    2.394;19907.193
403.074;20144.486;    2.083;19895.150
403.628;20119.744;    1.956;19857.600
404.182;20074.242;    1.919;19800.021
404.735;19990.516;    2.024;19732.807
405.289;19910.676;    2.382;19662.846
405.843;19809.529;    2.070;19524.451
406.396;19693.178;    1.782;19413.264
406.950;19574.893;    1.594;19221.857
407.503;19453.385;    1.399;18984.822
408.057;19306.330;    1.927;18753.191
408.611;19200.871;    1.907;18601.270
409.164;19141.189;    1.660;18458.930
409.718;19072.295;    1.399;18288.682
410.271;19011.496;    1.146;18133.148
410.825;18952.924;    1.410;18012.455
411.378;18893.469;    1.899;17928.895
411.932;18879.996;    1.537;17856.725
412.485;18884.502;    1.200;17696.875
413.039;18855.242;    1.014;17527.594
413.592;18832.346;    1.517;17508.240
414.146;18786.863;    2.139;17459.979
414.699;18733.779;    2.102;17396.783
415.253;18650.570;    1.862;17302.285
415.806;18581.410;    1.943;17208.291
416.360;18482.857;    2.102;17176.025
416.913;18342.893;    2.394;17166.963
417.466;18238.314;    2.573;17054.414
418.020;18210.178;    2.026;17014.334
418.573;18222.021;    1.532;17029.051
419.127;18334.117;    1.297;17176.988
419.680;18521.637;    1.624;17421.408
420.233;18738.635;    1.959;17641.104
420.787;18997.988;    1.922;17828.533
421.340;19220.176;    1.173;18077.789
421.894;19386.262;    1.093;18257.363
422.447;19528.209;    1.720;18406.648
423.000;19561.701;    2.184;18408.650
423.553;19484.707;    1.816;18379.383
424.107;19369.164;    1.613;18282.965
424.660;19186.422;    1.514;18085.246
425.213;18926.957;    1.934;17834.660
425.767;18686.297;    2.327;17649.459
426.320;18449.156;    2.252;17452.555
426.873;18183.244;    1.960;17170.824
427.426;17969.799;    1.932;16950.828
427.980;17806.285;    2.239;16857.219
428.533;17601.068;    2.722;16754.145
429.086;17399.752;    2.900;16615.451
429.639;17188.563;    2.762;16493.891
430.192;16933.096;    2.344;16340.891
430.746;16695.650;    2.006;16243.344
431.299;16406.518;    2.322;16024.472
431.852;16062.781;    2.293;15833.229
432.405;15781.678;    1.854;15705.715
432.958;15532.886;    1.516;15577.941
433.511;15307.362;    1.394;15405.151
434.064;15140.749;    1.970;15264.161
434.618;15037.839;    2.657;15210.028
435.171;14974.740;    2.524;15236.144
435.724;14942.669;    2.299;15147.426
436.277;14971.938;    2.116;15147.960
436.830;15049.584;    2.199;15154.341
437.383;15124.877;    2.389;15153.959
437.936;15235.945;    2.160;15213.801
438.489;15391.034;    1.732;15315.050
439.042;15591.133;    1.554;15404.146
439.595;15786.488;    1.406;15457.778
440.148;16018.114;    2.030;15557.823
440.701;16210.787;    2.400;15696.485
441.254;16388.740;    2.054;15775.416
441.807;16530.025;    1.649;15859.172
442.360;16639.820;    1.599;15981.597
442.913;16752.887;    1.869;16110.760
443.466;16862.057;    2.222;16298.816
444.018;16935.863;    1.820;16424.895
444.571;17068.076;    1.292;16585.398
445.124;17281.605;    1.276;16878.648
445.677;17614.922;    1.923;17229.840
446.230;18005.357;    2.504;17594.146
446.783;18486.906;    2.380;18064.014
447.336;19127.934;    2.113;18674.588
447.888;19861.775;    1.829;19301.225
448.441;20720.984;    1.942;20007.875
448.994;21655.930;    2.613;20734.004
449.547;22601.689;    2.213;21495.510
450.099;23576.965;    1.696;22254.613
450.652;24495.709;    1.496;22895.506
451.205;25332.875;    1.327;23460.619
451.758;26167.236;    2.059;24134.697
452.310;26822.795;    2.246;24729.506
452.863;27347.404;    1.922;25201.469
453.416;27727.791;    1.686;25500.367
453.968;28042.139;    1.369;25802.340
454.521;28273.584;    1.574;26090.832
455.074;28505.098;    2.090;26478.313
455.626;28635.506;    1.527;26716.381
456.179;28817.682;    1.156;26966.133
456.732;29049.055;    0.914;27342.787
457.284;29346.859;    1.274;27745.297
457.837;29706.336;    1.703;28049.557
458.389;30109.883;    1.747;28410.693
458.942;30498.742;    1.820;28558.881
459.494;30935.156;    1.866;28850.662
460.047;31403.070;    1.937;29184.119
460.599;31871.648;    2.434;29409.664
461.152;32294.240;    2.716;29662.150
461.704;32631.709;    2.786;29898.029
462.257;32935.324;    2.439;30135.412
462.809;33220.457;    1.800;30426.805
463.362;33456.000;    2.139;30624.643
463.914;33623.090;    2.703;30758.453
464.467;33697.707;    2.336;30871.873
465.019;33790.594;    1.807;30990.223
465.571;33816.281;    1.520;31090.037
466.124;33869.238;    1.813;31254.561
466.676;33853.703;    2.386;31373.615
467.228;33804.328;    2.237;31392.443
467.781;33731.043;    1.743;31415.758
468.333;33694.855;    1.543;31539.332
468.885;33616.344;    1.457;31655.814
469.438;33537.324;    1.712;31748.795
469.990;33467.277;    1.772;31751.547
470.542;33451.664;    1.347;31918.857
471.095;33456.938;    1.120;32155.582
471.647;33508.785;    1.322;32421.803
472.199;33543.941;    1.853;32546.111
472.751;33639.344;    2.572;32718.479
473.303;33796.863;    2.549;33041.320
473.856;33988.813;    2.516;33350.652
474.408;34151.445;    2.353;33585.246
474.960;34376.805;    2.633;33910.680
475.512;34622.410;    2.804;34154.949
476.064;34939.508;    2.573;34539.535
476.616;35275.152;    2.134;34967.367
477.168;35646.266;    1.953;35302.965
477.720;35987.215;    2.009;35659.094
478.272;36408.203;    2.733;35952.043
478.824;36762.605;    2.703;36127.410
479.376;37066.359;    2.282;36288.531
479.928;37283.754;    1.819;36305.574
480.480;37421.945;    1.867;36193.648
481.032;37495.098;    2.503;36139.602
481.584;37484.078;    2.677;35989.031
482.136;37389.270;    2.369;35870.645
482.688;37237.242;    1.929;35665.895
483.240;37129.195;    2.156;35556.148
483.792;37004.957;    2.893;35552.098
484.344;36905.172;    2.843;35478.727
484.896;36834.227;    2.297;35413.402
485.448;36779.023;    1.614;35332.148
485.999;36768.023;    1.312;35335.699
486.551;36897.145;    2.014;35424.953
487.103;36988.629;    2.332;35449.473
487.655;37149.832;    2.017;35367.098
488.207;37316.816;    1.869;35367.191
488.758;37464.141;    1.843;35219.875
489.310;37659.098;    2.244;35051.664
489.862;37856.793;    2.786;34840.652
490.414;37918.652;    2.760;34534.398
490.965;37951.414;    2.762;34138.566
491.517;37840.637;    2.729;33744.191
492.069;37612.785;    2.702;33286.777
492.620;37262.215;    2.850;32785.492
493.172;36741.707;    3.092;32180.316
493.724;36044.230;    2.614;31491.195
494.275;35270.258;    2.122;30783.773
494.827;34417.836;    1.743;30114.309
495.378;33500.637;    2.044;29348.791
495.930;32546.924;    2.550;28638.299
496.481;31563.668;    2.702;27875.699
497.033;30634.424;    2.303;27266.074
497.584;29775.408;    2.249;26717.234
498.136;28974.355;    3.017;26180.563
498.687;28141.115;    3.606;25583.523
499.239;27359.086;    3.493;25109.701
499.790;26644.371;    3.153;24652.186
500.342;25977.418;    2.799;24273.920
500.893;25344.512;    3.027;23856.111
501.444;24731.326;    3.447;23441.369
501.996;24141.238;    2.983;23114.922
502.547;23629.504;    2.526;22823.727
503.098;23270.998;    3.136;22486.547
503.650;22848.059;    3.196;22118.588
504.201;22443.176;    3.617;21869.178
504.752;22029.135;    3.916;21635.783
505.303;21629.637;    3.617;21420.023
505.855;21205.990;    3.219;21200.555
506.406;20801.430;    2.917;20947.488
506.957;20300.373;    2.223;20790.715
507.508;19885.883;    2.282;20601.246
508.060;19452.080;    2.087;20310.139
508.611;19000.047;    1.549;20053.422
509.162;18504.316;    1.139;19639.668
509.713;18050.293;    1.310;19256.934
510.264;17606.264;    1.830;18995.607
510.815;17206.740;    1.987;18766.771
511.366;16823.566;    1.833;18538.787
511.917;16510.484;    1.559;18376.559
512.468;16245.929;    1.662;18184.379
513.019;16059.365;    2.434;18075.482
513.570;15890.333;    2.582;17912.895
514.121;15730.377;    2.273;17685.191
514.672;15618.795;    1.946;17464.381
515.223;15561.513;    1.840;17317.418
515.774;15559.192;    2.246;17190.230
516.325;15573.335;    2.597;17064.516
516.876;15602.527;    2.137;16972.088
517.427;15677.806;    1.897;16852.500
517.977;15818.217;    1.684;16829.553
518.528;15957.853;    1.913;16766.789
519.079;16098.381;    2.636;16643.695
519.630;16228.421;    2.637;16517.559
520.181;16390.195;    2.292;16393.189
520.731;16587.479;    2.093;16230.644
521.282;16768.557;    2.262;16145.105
521.833;16929.982;    2.833;15953.990
522.384;17082.313;    3.003;15736.516
522.934;17207.396;    2.524;15565.753
