theta,intensity
67.0000,0.671
67.0400,0.709
67.0800,0.695
67.1200,0.761
67.1600,0.763
67.2000,0.725
67.2400,0.808
67.2800,0.843
67.3200,0.824
67.3600,0.861
67.4000,0.886
67.4400,0.878
67.4800,0.882
67.5200,0.844
67.5600,0.882
67.6000,0.838
67.6400,0.833
67.6800,0.868
67.7200,0.857
67.7600,0.874
67.8000,0.866
67.8400,0.849
67.8800,0.860
67.9200,0.836
67.9600,0.874
68.0000,0.832
68.0400,0.822
68.0800,0.817
68.1200,0.812
68.1600,0.849
68.2000,0.822
68.2400,0.810
68.2800,0.822
68.3200,0.802
68.3600,0.810
68.4000,0.817
68.4400,0.830
68.4800,0.866
68.5200,0.940
68.5600,0.934
68.6000,0.957
68.6400,1.028
68.6800,1.209
68.7200,1.552
68.7600,1.768
68.8000,1.974
68.8400,2.115
68.8800,2.307
68.9200,2.617
68.9600,3.680
69.0000,6.346
69.0400,20.130
69.0800,65.575
69.1200,96.686
69.1600,82.244
69.2000,50.607
69.2400,27.260
69.2800,38.435
69.3200,51.240
69.3600,43.606
69.4000,25.989
69.4400,9.705
69.4800,4.099
69.5200,2.669
69.5600,2.063
69.6000,1.668
69.6400,1.501
69.6800,1.332
69.7200,1.250
69.7600,1.112
69.8000,1.000
69.8400,0.957
69.8800,0.935
69.9200,0.873
69.9600,0.797
70.0000,0.769
70.0400,0.734
70.0800,0.728
70.1200,0.709
70.1600,0.735
70.2000,0.670
70.2400,0.660
70.2800,0.619
70.3200,0.597
70.3600,0.645
70.4000,0.627
70.4400,0.577
70.4800,0.560
70.5200,0.542
70.5600,0.514
70.6000,0.558
70.6400,0.508
70.6800,0.540
70.7200,0.494
70.7600,0.479
70.8000,0.487
70.8400,0.450
70.8800,0.471
70.9200,0.454
70.9600,0.448
71.0000,0.398
71.0400,0.440
71.0800,0.458
71.1200,0.405
71.1600,0.420
71.2000,0.392
71.2400,0.401
71.2800,0.392
71.3200,0.410
71.3600,0.366
71.4000,0.370
71.4400,0.360
71.4800,0.356
71.5200,0.354
71.5600,0.349
71.6000,0.377
71.6400,0.341
71.6800,0.346
71.7200,0.335
71.7600,0.351
71.8000,0.328
71.8400,0.344
71.8800,0.321
71.9200,0.302
71.9600,0.333
72.0000,0.309
72.0400,0.305
72.0800,0.286
72.1200,0.292
72.1600,0.298
72.2000,0.300
72.2400,0.289
72.2800,0.252
72.3200,0.290
72.3600,0.284
72.4000,0.288
72.4400,0.261
72.4800,0.286
72.5200,0.274
72.5600,0.273
72.6000,0.258
72.6400,0.268
72.6800,0.246
72.7200,0.244
72.7600,0.261
72.8000,0.272
72.8400,0.274
72.8800,0.244
72.9200,0.248
72.9600,0.233
73.0000,0.265
73.0400,0.261
73.0800,0.227
73.1200,0.252
73.1600,0.225
73.2000,0.263
73.2400,0.238
73.2800,0.225
73.3200,0.238
73.3600,0.207
73.4000,0.239
73.4400,0.226
73.4800,0.232
73.5200,0.231
73.5600,0.231
73.6000,0.249
73.6400,0.225
73.6800,0.240
73.7200,0.220
73.7600,0.244
73.8000,0.211
73.8400,0.224
73.8800,0.214
73.9200,0.230
73.9600,0.221
74.0000,0.215
74.0400,0.202
74.0800,0.210
74.1200,0.206
74.1600,0.219
74.2000,0.217
74.2400,0.199
74.2800,0.220
74.3200,0.207
74.3600,0.209
74.4000,0.199
74.4400,0.199
74.4800,0.196
74.5200,0.188
74.5600,0.207
74.6000,0.194
74.6400,0.198
74.6800,0.217
74.7200,0.212
74.7600,0.189
74.8000,0.194
74.8400,0.189
74.8800,0.185
74.9200,0.212
74.9600,0.179
75.0000,0.189
75.0400,0.191
75.0800,0.193
75.1200,0.213
75.1600,0.202
75.2000,0.202
75.2400,0.204
75.2800,0.201
75.3200,0.193
75.3600,0.202
75.4000,0.183
75.4400,0.188
75.4800,0.195
75.5200,0.195
75.5600,0.200
75.6000,0.173
75.6400,0.174
75.6800,0.180
75.7200,0.178
75.7600,0.186
75.8000,0.187
75.8400,0.189
75.8800,0.182
75.9200,0.167
75.9600,0.167
76.0000,0.195
76.0400,0.193
76.0800,0.188
76.1200,0.179
76.1600,0.176
76.2000,0.175
76.2400,0.179
76.2800,0.184
76.3200,0.168
76.3600,0.178
76.4000,0.181
76.4400,0.188
76.4800,0.194
76.5200,0.191
76.5600,0.179
76.6000,0.173
76.6400,0.174
76.6800,0.166
76.7200,0.152
76.7600,0.175
76.8000,0.177
76.8400,0.178
76.8800,0.185
76.9200,0.183
76.9600,0.161
77.0000,0.168
77.0400,0.188
77.0800,0.194
77.1200,0.175
77.1600,0.183
77.2000,0.181
77.2400,0.181
77.2800,0.171
77.3200,0.185
77.3600,0.177
77.4000,0.167
77.4400,0.186
77.4800,0.178
77.5200,0.193
77.5600,0.168
77.6000,0.195
77.6400,0.177
77.6800,0.173
77.7200,0.180
77.7600,0.175
77.8000,0.167
77.8400,0.174
77.8800,0.163
77.9200,0.167
77.9600,0.184
78.0000,0.174
78.0400,0.196
78.0800,0.171
78.1200,0.171
78.1600,0.176
78.2000,0.189
78.2400,0.185
78.2800,0.183
78.3200,0.186
78.3600,0.190
78.4000,0.187
78.4400,0.176
78.4800,0.196
78.5200,0.188
78.5600,0.178
78.6000,0.194
78.6400,0.171
78.6800,0.201
78.7200,0.189
78.7600,0.192
78.8000,0.210
78.8400,0.179
78.8800,0.172
78.9200,0.190
78.9600,0.198
79.0000,0.199
79.0400,0.192
79.0800,0.204
79.1200,0.184
79.1600,0.210
79.2000,0.202
79.2400,0.227
79.2800,0.216
79.3200,0.219
79.3600,0.200
79.4000,0.210
79.4400,0.205
79.4800,0.242
79.5200,0.220
79.5600,0.214
79.6000,0.223
79.6400,0.228
79.6800,0.220
79.7200,0.233
79.7600,0.232
79.8000,0.232
79.8400,0.254
79.8800,0.249
79.9200,0.237
79.9600,0.280
80.0000,0.272
