theta,intensity
19.1600,1.173
19.2000,1.163
19.2400,1.134
19.2800,1.175
19.3200,1.148
19.3600,1.131
19.4000,1.175
19.4400,1.138
19.4800,1.153
19.5200,1.202
19.5600,1.138
19.6000,1.188
19.6400,1.191
19.6800,1.172
19.7200,1.118
19.7600,1.208
19.8000,1.143
19.8400,1.133
19.8800,1.192
19.9200,1.192
19.9600,1.177
20.0000,1.154
20.0400,1.147
20.0800,1.178
20.1200,1.172
20.1600,1.156
20.2000,1.151
20.2400,1.104
20.2800,1.225
20.3200,1.186
20.3600,1.160
20.4000,1.160
20.4400,1.149
20.4800,1.134
20.5200,1.085
20.5600,1.155
20.6000,1.170
20.6400,1.137
20.6800,1.134
20.7200,1.132
20.7600,1.127
20.8000,1.149
20.8400,1.160
20.8800,1.145
20.9200,1.138
20.9600,1.119
21.0000,1.091
21.0400,1.109
21.0800,1.155
21.1200,1.143
21.1600,1.114
21.2000,1.097
21.2400,1.124
21.2800,1.151
21.3200,1.157
21.3600,1.092
21.4000,1.110
21.4400,1.114
21.4800,1.086
21.5200,1.120
21.5600,1.086
21.6000,1.133
21.6400,1.113
21.6800,1.115
21.7200,1.096
21.7600,1.154
21.8000,1.113
21.8400,1.101
21.8800,1.153
21.9200,1.057
21.9600,1.084
22.0000,1.092
22.0400,1.087
22.0800,1.101
22.1200,1.074
22.1600,1.112
22.2000,1.102
22.2400,1.073
22.2800,1.072
22.3200,1.082
22.3600,1.069
22.4000,1.063
22.4400,1.064
22.4800,1.069
22.5200,1.030
22.5600,1.051
22.6000,1.030
22.6400,1.042
22.6800,1.064
22.7200,1.007
22.7600,1.016
22.8000,1.059
22.8400,1.032
22.8800,1.010
22.9200,0.971
22.9600,1.019
23.0000,0.991
23.0400,1.031
23.0800,1.062
23.1200,0.982
23.1600,1.026
23.2000,1.003
23.2400,1.031
23.2800,1.013
23.3200,1.012
23.3600,0.996
23.4000,1.004
23.4400,0.955
23.4800,1.002
23.5200,0.990
23.5600,0.942
23.6000,0.984
23.6400,0.971
23.6800,0.943
23.7200,0.972
