Title                                                           28.11.2022 15:28
________________________________________________________________________________

Title


Curve Name:
  mp2028_281122_LNO, 28.11.2022 14:59:27
  Performed 28.11.2022 14:59:26
  Sample Weight
Curve Values:
          Index              t             Ts             Tr          Value
                           [s]           [°C]           [°C]           [mg]
            138            138        37.5643             48        4.17544
            139            139        37.7046        48.1667        4.17547
            140            140        37.8571        48.3333        4.17549
            141            141         37.995           48.5        4.17552
            142            142        38.1385        48.6667        4.17554
            143            143        38.2743        48.8333        4.17555
            144            144        38.4123             49        4.17557
            145            145        38.5571        49.1667        4.17557
            146            146        38.6899        49.3333        4.17556
            147            147        38.8316           49.5        4.17556
            148            148        38.9846        49.6667        4.17557
            149            149        39.1185        49.8333        4.17554
            150            150        39.2729             50        4.17555
            151            151        39.4099        50.1667        4.17556
            152            152        39.5502        50.3333        4.17558
            153            153        39.6931           50.5        4.17561
            154            154        39.8266        50.6667        4.17566
            155            155        39.9689        50.8333         4.1757
            156            156        40.1194             51        4.17573
            157            157        40.2569        51.1667        4.17574
            158            158        40.3933        51.3333        4.17574
            159            159        40.5436           51.5        4.17574
            160            160        40.6854        51.6667        4.17573
            161            161         40.824        51.8333        4.17571
            162            162        40.9746             52        4.17567
            163            163        41.1254        52.1667        4.17563
            164            164        41.2663        52.3333        4.17561
            165            165        41.4143           52.5        4.17558
            166            166        41.5543        52.6667        4.17557
            167            167        41.7002        52.8333        4.17558
            168            168         41.855             53        4.17559
            169            169        42.0051        53.1667        4.17561
            170            170        42.1402        53.3333        4.17568
            171            171        42.2804           53.5         4.1757
            172            172        42.4222        53.6667        4.17568
            173            173        42.5747        53.8333        4.17563
            174            174        42.7208             54        4.17557
            175            175        42.8681        54.1667        4.17552
            176            176        43.0261        54.3333        4.17545
            177            177        43.1526           54.5        4.17537
            178            178        43.2989        54.6667         4.1753
            179            179        43.4446        54.8333        4.17524
            180            180        43.5955             55        4.17517
            181            181        43.7409        55.1667        4.17509
            182            182        43.8799        55.3333        4.17507
            183            183        44.0335           55.5        4.17504
            184            184        44.1726        55.6667          4.175
            185            185         44.319        55.8333        4.17498
            186            186         44.464             56        4.17501
            187            187        44.6162        56.1667          4.175
            188            188        44.7552        56.3333        4.17499
            189            189        44.9018           56.5        4.17499
            190            190        45.0524        56.6667        4.17499
            191            191        45.2037        56.8333        4.17497
            192            192        45.3544             57        4.17496
            193            193        45.5073        57.1667        4.17494
            194            194        45.6483        57.3333        4.17486
            195            195        45.7891           57.5        4.17479
            196            196        45.9334        57.6667        4.17474
            197            197        46.0971        57.8333        4.17468
            198            198        46.2425             58        4.17458
            199            199        46.3887        58.1667        4.17452
            200            200        46.5276        58.3333        4.17448
            201            201        46.6962           58.5        4.17443
            202            202        46.8399        58.6667        4.17443
            203            203         46.979        58.8333        4.17443
            204            204        47.1332             59        4.17442
            205            205        47.2868        59.1667        4.17441
            206            206        47.4342        59.3333        4.17445
            207            207        47.5841           59.5        4.17447
            208            208        47.7306        59.6667        4.17447
            209            209        47.8798        59.8333        4.17447
            210            210        48.0245             60         4.1745
            211            211        48.1774        60.1667        4.17452
            212            212        48.3392        60.3333         4.1745
            213            213         48.488           60.5        4.17447
            214            214        48.6362        60.6667         4.1744
            215            215        48.7787        60.8333        4.17432
            216            216        48.9238             61        4.17425
            217            217        49.0769        61.1667        4.17419
            218            218        49.2349        61.3333        4.17409
            219            219        49.3874           61.5        4.17405
            220            220        49.5278        61.6667        4.17404
            221            221         49.675        61.8333        4.17405
            222            222         49.826             62        4.17415
            223            223         49.973        62.1667        4.17419
            224            224        50.1222        62.3333        4.17423
            225            225        50.2835           62.5        4.17429
            226            226        50.4346        62.6667        4.17432
            227            227        50.5852        62.8333        4.17433
            228            228        50.7424             63        4.17433
            229            229        50.8837        63.1667        4.17435
            230            230        51.0278        63.3333        4.17432
            231            231        51.1885           63.5        4.17432
            232            232        51.3408        63.6667        4.17435
            233            233        51.4884        63.8333        4.17438
            234            234        51.6367             64        4.17442
            235            235        51.7916        64.1667        4.17447
            236            236        51.9425        64.3333        4.17454
            237            237        52.1095           64.5        4.17459
            238            238        52.2621        64.6667        4.17462
            239            239        52.4099        64.8333        4.17464
            240            240        52.5497             65        4.17466
            241            241        52.7165        65.1667        4.17471
