scan_number, cell_name, time
1046839, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 23:51:28.421000
1046845, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 23:56:01.340000
1046851, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 00:00:25.674000
1046857, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 00:04:54.991000
1046863, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 00:09:17.477000
1046869, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 00:13:40.363000
1046875, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 00:18:02.728000
1046881, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 00:22:25.643000
1046887, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 00:26:47.700000
1046893, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 00:31:09.670000
1046899, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 00:35:32.035000
1046905, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 00:39:55.408000
1046911, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 00:44:16.668000
1046917, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 00:48:38.784000
1046923, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 00:53:01.410000
1046929, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 00:57:24.656000
1046935, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 01:01:47.685000
1046941, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 01:06:10.616000
1046947, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 01:10:32.755000
1046953, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 01:14:54.670000
1046959, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 01:19:17.276000
1046965, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 01:23:39.429000
1046971, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 01:28:02.253000
1046977, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 01:32:24.602000
1046983, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 01:36:47.119000
1046989, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 01:41:09.422000
1046995, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 01:45:31.392000
1047001, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 01:49:54.666000
1047007, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 01:54:17.672000
1047013, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 01:58:41.715000
1047019, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 02:03:04.470000
1047025, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 02:07:27.041000
1047031, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 02:11:49.659000
1047037, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 02:16:12.463000
1047043, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 02:20:34.686000
1047049, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 02:24:56.713000
1047055, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 02:29:18.994000
1047061, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 02:33:41.983000
1047067, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 02:38:04.691000
1047073, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 02:42:27.418000
1047079, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 02:46:49.631000
1047085, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 02:51:13.410000
1047091, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 02:55:36.339000
