Sourcefile	20221128 134958 TGA MS Megan.qmp
Exporttime	28/11/2022 15:24:02

Start Time	28/11/2022 13:51:12
End Time	28/11/2022 15:21:44

		14			16			Water			Nitrogen/Carbonmonoxide			Oxygen			Argon			Carbondioxide	
Time	Time Relative [s]	Partial Pressure [mbar]	Time	Time Relative [s]	Partial Pressure [mbar]	Time	Time Relative [s]	Partial Pressure [mbar]	Time	Time Relative [s]	Partial Pressure [mbar]	Time	Time Relative [s]	Partial Pressure [mbar]	Time	Time Relative [s]	Partial Pressure [mbar]	Time	Time Relative [s]	Partial Pressure [mbar]	
28/11/2022 13:52:16	63.850	1.059549e-011	28/11/2022 13:52:16	64.063	8.503888e-012	28/11/2022 13:52:16	64.275	1.116772e-013	28/11/2022 13:52:17	65.316	3.358418e-013	28/11/2022 13:52:18	66.358	1.588362e-013	28/11/2022 13:52:18	66.570	4.858754e-014	28/11/2022 13:52:19	67.610	3.690361e-014
28/11/2022 13:52:19	67.824	1.050372e-011	28/11/2022 13:52:20	68.037	9.049627e-012	28/11/2022 13:52:20	68.254	1.019407e-013	28/11/2022 13:52:21	69.294	3.501381e-013	28/11/2022 13:52:22	70.334	1.586858e-013	28/11/2022 13:52:22	70.553	6.118343e-014	28/11/2022 13:52:23	71.594	3.878733e-014
28/11/2022 13:52:23	71.807	1.079954e-011	28/11/2022 13:52:24	72.019	8.856375e-012	28/11/2022 13:52:24	72.239	4.710805e-014	28/11/2022 13:52:25	73.281	3.311180e-013	28/11/2022 13:52:26	74.322	1.677975e-013	28/11/2022 13:52:26	74.535	4.333572e-014	28/11/2022 13:52:27	75.576	4.364313e-014
28/11/2022 13:52:27	75.789	1.105975e-011	28/11/2022 13:52:28	76.002	9.048598e-012	28/11/2022 13:52:28	76.222	5.611652e-014	28/11/2022 13:52:29	77.260	3.689050e-013	28/11/2022 13:52:30	78.300	1.483271e-013	28/11/2022 13:52:30	78.513	4.305753e-014	28/11/2022 13:52:31	79.553	4.170733e-014
28/11/2022 13:52:31	79.766	1.092401e-011	28/11/2022 13:52:32	79.979	9.130291e-012	28/11/2022 13:52:32	80.201	1.158240e-013	28/11/2022 13:52:33	81.242	3.743029e-013	28/11/2022 13:52:34	82.281	1.580627e-013	28/11/2022 13:52:34	82.494	4.465875e-014	28/11/2022 13:52:35	83.538	4.027605e-014
28/11/2022 13:52:35	83.751	1.060327e-011	28/11/2022 13:52:36	83.964	9.035075e-012	28/11/2022 13:52:36	84.183	8.200950e-014	28/11/2022 13:52:37	85.223	3.278058e-013	28/11/2022 13:52:38	86.264	1.797964e-013	28/11/2022 13:52:38	86.477	5.793470e-014	28/11/2022 13:52:39	87.517	4.432314e-014
28/11/2022 13:52:39	87.730	1.090244e-011	28/11/2022 13:52:40	87.943	9.263105e-012	28/11/2022 13:52:40	88.162	7.711516e-014	28/11/2022 13:52:41	89.201	3.404790e-013	28/11/2022 13:52:42	90.241	1.616056e-013	28/11/2022 13:52:42	90.454	4.110243e-014	28/11/2022 13:52:43	91.496	3.756993e-014
28/11/2022 13:52:43	91.709	1.044895e-011	28/11/2022 13:52:44	91.921	8.704829e-012	28/11/2022 13:52:44	92.134	1.168790e-013	28/11/2022 13:52:45	93.174	3.353749e-013	28/11/2022 13:52:46	94.213	1.734777e-013	28/11/2022 13:52:46	94.426	6.123089e-014	28/11/2022 13:52:47	95.465	3.885554e-014
28/11/2022 13:52:47	95.677	1.102843e-011	28/11/2022 13:52:48	95.890	8.837700e-012	28/11/2022 13:52:48	96.116	9.174553e-014	28/11/2022 13:52:49	97.156	3.217479e-013	28/11/2022 13:52:50	98.198	1.875740e-013	28/11/2022 13:52:50	98.418	4.485153e-014	28/11/2022 13:52:51	99.459	3.853820e-014
28/11/2022 13:52:51	99.672	1.061040e-011	28/11/2022 13:52:52	99.885	8.633285e-012	28/11/2022 13:52:52	100.105	1.225173e-013	28/11/2022 13:52:53	101.145	3.324067e-013	28/11/2022 13:52:54	102.185	1.578124e-013	28/11/2022 13:52:54	102.403	5.045463e-014	28/11/2022 13:52:55	103.444	4.300961e-014
28/11/2022 13:52:55	103.658	1.057700e-011	28/11/2022 13:52:56	103.871	8.934886e-012	28/11/2022 13:52:56	104.089	6.433449e-014	28/11/2022 13:52:57	105.128	3.377876e-013	28/11/2022 13:52:58	106.170	1.554816e-013	28/11/2022 13:52:58	106.383	5.603450e-014	28/11/2022 13:52:59	107.422	3.963030e-014
28/11/2022 13:52:59	107.635	1.064078e-011	28/11/2022 13:53:00	107.849	8.722049e-012	28/11/2022 13:53:00	108.067	9.643373e-014	28/11/2022 13:53:01	109.107	3.409476e-013	28/11/2022 13:53:02	110.147	1.650090e-013	28/11/2022 13:53:02	110.361	5.961414e-014	28/11/2022 13:53:03	111.402	4.006545e-014
28/11/2022 13:53:03	111.615	1.074791e-011	28/11/2022 13:53:03	111.828	9.128032e-012	28/11/2022 13:53:04	112.045	8.405298e-014	28/11/2022 13:53:05	113.085	3.278979e-013	28/11/2022 13:53:06	114.128	1.530189e-013	28/11/2022 13:53:06	114.348	6.732959e-014	28/11/2022 13:53:07	115.390	3.820613e-014
28/11/2022 13:53:07	115.603	1.117748e-011	28/11/2022 13:53:07	115.816	8.858006e-012	28/11/2022 13:53:08	116.034	1.186654e-013	28/11/2022 13:53:09	117.074	3.500670e-013	28/11/2022 13:53:10	118.115	1.360497e-013	28/11/2022 13:53:10	118.329	3.552563e-014	28/11/2022 13:53:11	119.370	3.960577e-014
